# not necessarily q              
OI    976.4481 0.003310   8.010e7
OI    971.7382 0.0116      8.58e7
OI    971.7376 0.00207     1.46e7
OI    971.7371 0.000138    1.63e6
OI    950.8846 1.58e-3    3.876e7
OI    948.6855 6.31e-3    2.900e7
OI    937.8405 8.77e-4    1.102e7
OI    936.6295 3.65e-3    1.704e7
OI    930.2566 5.37e-4     6.90E6
OI    929.5168 2.29e-3     1.00E7
OI    925.446  3.54E-4     4.60E6
OI    924.950  1.54e-3     1.00E7
OI    922.200  2.45e-4     3.21e6
OI    921.857  1.08e-3     1.00E7
OI    919.917  1.77e-4     2.33e6
OI    919.658  7.92e-4     1.00E7
OI    919.222  1.32e-4     1.74e6
OI    918.044  6.14e-4     1.00E7
OI    916.960  1.01e-4     1.33e6
OI    916.815  4.74e-4     1.00E7
OI*  1304.8576 0.0478     5.650e8
OI** 1306.0286 0.0478     5.650e8
OII  539.0861  0.0642     1.000e8
OII  539.5489  0.0428     1.000e8
OII  539.8544  0.0214     1.000e8
OII  834.4655 0.132       2.000E8
OII  833.3294 0.0886       2.00E8
OII  832.7572 0.0444       2.00E8
OIII 832.927 0.107        2.000E8
OIII 702.332 0.137        2.000E8
OIII 507.388 0.186        1.000E8
OIV  553.329 0.112        1.000E8
OIV  554.076 0.224        1.000E8
OIV  608.3980 0.067       2.000E8
OIV  787.711 0.110        2.000E8
OV   629.730 0.515        2.000E8
OVI  1031.9261 0.13250    4.149e8
OVI  1037.6167 0.06580    4.076e8
OVII 21.60169 0.696       3.32E12
OVII 18.62799 0.146       9.35E11
FI   954.8267 0.0817       7.14E8
FI   951.8707 0.0165       7.16E8
NeIV   541.131 0.055      1.000e8
NeIV   542.074 0.110      1.000e8
NeIV   543.891 0.170      1.000e8
NeV    568.424 0.11       1.000e8
NeVI   558.603 0.092      1.000e8
NeVIII 780.324 0.050500   1.000e8
NeVIII 770.409 0.103000   1.000e8
NaI   5891.5833 0.6408    6.157e7
NaI   5897.5581 0.3201    6.139e7
NaI   3303.369 0.00920    9.641e6
NaI   3303.978 0.00460    9.639e6
NaI   2853.012 6.77e-4     5.54e5
NaI   2852.811 1.35e-3     5.54e5
MgI   2852.96328 1.830000 5.000e8
MgI   2026.4768 0.113      6.12e7
MgI   1827.9351 0.024200  1.610e7
MgI   1747.7937 0.00908    6.61e6
MgI   1707.0606 0.00437   3.330e6
MgI   1683.4116 0.00249    1.95E6
MgI   1668.4288 0.00160    1.28e6
MgII  2796.3542699 0.6155  2.68e8
MgII  2803.5314853 0.3058  2.66e8
MgII  1240.3947 0.000356   1.54e6
MgII  1239.9253 0.000632   1.37e6
MgII  1026.1134 3.92e-4    2.48e6
MgII  1025.9681 7.43e-4    2.35e6
MgX   624.95    0.0410    2.000E8
MgX   609.79    0.0842    2.000E8
AlI   3945.1224 0.116      1.48e8
AlI   3083.0462 0.177      7.45e7
AlI   2367.7750 0.106      7.58e7
AlI   2264.1647 0.0892     7.14e7
AlII  1670.7886 1.740     1.390e9
AlIII 1862.79113 0.278     5.34e8
AlIII 1854.71829 0.559     5.42e8
SiI   2515.0725  0.211     2.22e8
SiI   1845.5205  0.270     1.76e8
SiI   1693.2939  0.156     1.21e8
SiI   1631.170   0.2051   1.714e8
SiI   1562.002  0.3758    3.425e8
SiII  2335.123  4.25E-6    9.61e3
SiII  1808.01288 0.00208   2.38e6
SiII  1526.70698 0.13300   1.13E9
SiII  1304.3702 0.0863     1.01E9
SiII  1260.4221 1.180      2.95E9
SiII  1193.2897 0.5820     4.07e9
SiII  1190.4158 0.2920     4.08E9
SiII  1020.6989 0.0168    6.680e8
SiII   989.8731 0.171     6.673e8
SiII* 1533.4316 0.13200    1.13E9
SiII* 1309.2757 0.0860     1.01E9
SiII* 1265.0020 0.117      2.95E9
SiII* 1264.7377 1.050      2.93E9
SiII* 1197.3938 0.145      4.07e9
SiII* 1194.5002 0.727      4.08E9
SiIII 1206.500 1.63000     2.48e9
SiIV  1393.76018 0.513     8.80e8
SiIV  1402.77291 0.254     8.62e8
PI    1774.9487 0.169      2.38e8
PI    1782.8291 0.113      2.38e8
PII   1532.5330 3.03e-3    4.77e6
PII   1301.8743 1.27e-2    4.82e7
PII   1152.8180 0.245      1.23e9
PII    963.8005 1.458      4.14E9
PII    961.0412 0.3489     5.09e9
PIII  1334.8132 0.0282     6.32E7
PIII   997.9996 0.1117    2.220E9
PIII   917.1178 0.404      4.78E9
PIII   913.9683 0.203      4.79E9
PIV    950.6569 1.490      3.67e9
PV    1128.0078 0.233      1.22e9
PV    1117.9774 0.472      1.26e9
SI    1807.3113 0.0905     5.33e8
SI    1473.9943 0.0828     1.82e8
SI    1295.6531 0.0870     3.46e8
SII   1259.519 0.0166      4.65e7
SII   1253.811 0.0109      4.62e7
SII   1250.584 0.00543     4.63e7
SII    912.735 0.0653      1.0e8
SII    910.484 0.132       1.0e8
SII    906.876 0.201       1.0e8
SII    765.693 1.190       1.0e8
SII    764.42  0.795       1.0e8
SII    763.657 0.398       1.0e8
SII    641.767 0.26        1.0e8
SII    640.902 0.174       1.0e8
SII    640.412 0.0868      1.0e8
SIII  1190.203 0.0237      6.65e7
SIII  1012.495 0.0438      2.81e8
SIII   724.289 0.378       1.0e8
SIII   698.731 0.850       1.0e8
SIII   677.734 1.43        1.0e8
SIV   1062.664 0.0494      1.69e8
SIV    809.659 0.118       1.0e8
SIV    748.397 0.459       1.0e8
SIV    744.907 0.251       1.0e8
SIV    657.328 1.13        1.0e8
SIV    551.121 0.092       1.0e8
SV     786.48  1.36        1.0e8
SVI   944.523 0.215        1.61e9
SVI   933.378 0.437        1.67e9
ClI   1347.2396 0.153      6.62e8
ArI   1066.6598 0.0675     1.32e8
ArI   1048.2199 0.263      3.18e7
CaI   4227.918 1.770      2.200e8
CaI   2276.169 0.0661      2.84e7
CaII  3934.7750 0.6267    1.444e8
CaII  3969.5901 0.3116    1.409e8
ScII  3643.822  0.375      1.61E8
ScII  3581.947  0.237      2.13E8
ScII  3568.715  0.111      2.13E8
ScII  2563.958  0.0887     2.70E8
ScIII 1610.194  0.0866     4.46E8
ScIII 1603.064  0.0175     4.56E7
TiII  3384.7304 0.358      1.75e8
TiII  3242.9184 0.232      2.44e8
TiII  3230.1221 0.0687     2.44e8
TiII  3073.8633 0.121      2.56e8
TiII  3067.2379 0.0489    2.500e8
TiII  1910.9538 0.0980     1.43E8
TiII  1910.6123 0.104      4.17E8
TiIII 1298.697 0.0964      6.35e8
TiIII 1295.884 0.0418      1.66e8
VII   2740.525 0.101       3.00E7
VII   2706.021 0.0142      2.13E8
VII   2683.887 0.109       2.86E8
VII   2141.767 0.00805      3.9E6
VII   2138.827 0.082        4.0E7
VII   1106.571 0.123       2.24E8
VII   1106.449 0.0239      4.34E7
VII   1104.332 0.00356      6.5E6
CrII  2066.16403 0.0512    4.17e8
CrII  2062.23610 0.0759    4.06e8
CrII  2056.25693 0.1030    4.07e8
MnII  2606.462 0.198       2.72e8
MnII  2594.499 0.280       2.78e8
MnII  2576.877 0.361       2.82e8
MnII  1201.118 0.121       7.85e8
MnII  1199.391 0.169       7.85e8
MnII  1197.184 0.217       7.84e8
MnII  1162.015 0.0102      3.90e7
FeI   3720.9928 0.0411     1.63e7
FeI   3021.5187 0.1040     1.69E8
FeI   2967.7646 0.0438     1.27E8
FeI   2719.8329 0.122      1.75E8
FeI   2523.6083 0.203      3.85E8
FeI   2501.8858 0.049300   3.85E8
FeI   2484.0209 0.544     5.000E8
FeI   2463.3922 0.0532    5.000E8
FeI   2298.8769 0.0245    1.350E8
FeI   2167.4534 0.150000   2.74E8
FeI   2132.690  0.0052     6.00E8
FeI   2084.785  0.0189     6.00E8
FeI   1937.268  0.00945   2.161E7
